institution_name,country,major
Campus La Salle Saint-Étienne,France,engineering
CMA,France,craftsmanship
YA School of Business,France,business
Upe Alternance Saint-Étienne,France,vocational_training
IAE Saint-Étienne,France,business
I Business School,France,business
EL HOTEL & TOURISME BUSINESS SCHOOL,France,hotel_tourism
Sport School Lyon,France,sports_management
École Formation CFAI AFPI,France,industrial_trades
SE CENTRALE LYON,France,engineering
Tech Lyon,France,technology
Mont School of Business,France,business
Francia Business School,France,business
Iller International University,Germany,business
Iller International University,Germany,liberal_arts
SRH University,Germany,applied_sciences
Efrei,France,digital_engineering
Estiam,France,it_engineering
ESPI,France,real_estate
EDC Paris Business School,France,business
Y Schools,France,digital_tools
INSEEC,France,business
INSEEC,France,marketing
INSEEC,France,finance
Change College,France,business
3iL,France,engineering
ESTP,France,civil_engineering
IST,France,science
IST,France,technology
Université Cattolica,Italy,economics
Université Cattolica,Italy,law
Université Cattolica,Italy,medicine
LUMSA,Italy,law
LUMSA,Italy,education
VUMK,Unknown,management
Sotrudnichestvo,Russia,humanities
Sotrudnichestvo,Russia,science
Sotrudnichestvo,Russia,engineering
UM6SS,Morocco,medicine
UM6SS,Morocco,pharmacy
Université Privée de Fès,Morocco,business
Université Privée de Fès,Morocco,law
Université Privée de Fès,Morocco,engineering
Zhejiang Chinese Medical University,China,chinese_medicine
Zhejiang Chinese Medical University,China,pharmacy
Sichuan University,China,engineering
Sichuan University,China,medicine
Sichuan University,China,humanities
Université de Shenzhen,China,technology
Université de Shenzhen,China,economics
Université de Shenzhen,China,arts
OU Global Education,Unknown,general_studies
University of Suffolk,UK,business
University of Suffolk,UK,health
University of Suffolk,UK,social_sciences
University of Roehampton,UK,humanities
University of Roehampton,UK,business
University of Roehampton,UK,psychology
Canterbury Christ Church University,UK,education
Canterbury Christ Church University,UK,health
Canterbury Christ Church University,UK,arts
Pearson,UK,test_preparation
Oxford Brookes University,UK,architecture
Oxford Brookes University,UK,business
Oxford Brookes University,UK,computing
University of Plymouth,UK,marine_science
University of Plymouth,UK,engineering
University of Plymouth,UK,medicine
Bath Spa University,UK,arts
Bath Spa University,UK,humanities
Bath Spa University,UK,education
Lina Schools,Unknown,general_studies
